Year,Country of Residence,Month,Arrivals,Month_Num,Date
2008,PERU,March,60.0,3,2008-03-01
2008,POLAND,March,182.0,3,2008-03-01
2008,PORTUGAL,March,145.0,3,2008-03-01
2008,RUSSIA,March,1240.0,3,2008-03-01
2008,SAUDI ARABIA,March,1342.0,3,2008-03-01
2008,SINGAPORE,March,8179.0,3,2008-03-01
2008,SOUTH AFRICA,March,209.0,3,2008-03-01
2008,SPAIN,March,1485.0,3,2008-03-01
2008,SRI LANKA,March,246.0,3,2008-03-01
2008,SWEDEN,March,1303.0,3,2008-03-01
2008,SWITZERLAND,March,1786.0,3,2008-03-01
2008,TAIWAN,March,8675.0,3,2008-03-01
2008,THAILAND,March,3016.0,3,2008-03-01
2008,UNITED ARAB EMIRATES,March,717.0,3,2008-03-01
2008,UNITED KINGDOM,March,10323.0,3,2008-03-01
2008,USA,March,57270.0,3,2008-03-01
2008,VENEZUELA,March,26.0,3,2008-03-01
2008,VIETNAM,March,968.0,3,2008-03-01
2008,ARGENTINA,April,38.0,4,2008-04-01
2008,AUSTRALIA,April,9904.0,4,2008-04-01
2008,AUSTRIA,April,829.0,4,2008-04-01
2008,BAHRAIN,April,239.0,4,2008-04-01
2008,BANGLADESH,April,151.0,4,2008-04-01
2008,BELGIUM,April,575.0,4,2008-04-01
2008,BRAZIL,April,124.0,4,2008-04-01
2008,BRUNEI,April,279.0,4,2008-04-01
2008,CAMBODIA,April,203.0,4,2008-04-01
2008,CANADA,April,7987.0,4,2008-04-01
2008,CHINA,April,13845.0,4,2008-04-01
2008,COLOMBIA,April,35.0,4,2008-04-01
2008,DENMARK,April,951.0,4,2008-04-01
2008,EGYPT,April,22.0,4,2008-04-01
2008,FINLAND,April,170.0,4,2008-04-01
2008,FRANCE,April,1999.0,4,2008-04-01
2008,GERMANY,April,4324.0,4,2008-04-01
2008,GREECE,April,177.0,4,2008-04-01
2008,GUAM,April,3173.0,4,2008-04-01
2008,INDIA,April,2802.0,4,2008-04-01
2008,INDONESIA,April,2099.0,4,2008-04-01
2008,IRAN,April,195.0,4,2008-04-01
2008,IRELAND,April,356.0,4,2008-04-01
2008,ISRAEL,April,314.0,4,2008-04-01
2008,ITALY,April,1328.0,4,2008-04-01
2008,JAPAN,April,29295.0,4,2008-04-01
2008,JORDAN,April,48.0,4,2008-04-01
2008,KOREA,April,45382.0,4,2008-04-01
2008,KUWAIT,April,277.0,4,2008-04-01
2008,LAOS,April,68.0,4,2008-04-01
2008,LUXEMBOURG,April,28.0,4,2008-04-01
2008,MALAYSIA,April,5192.0,4,2008-04-01
2008,MEXICO,April,98.0,4,2008-04-01
2008,MYANMAR,April,377.0,4,2008-04-01
2008,NEPAL,April,86.0,4,2008-04-01
2008,NETHERLANDS,April,1664.0,4,2008-04-01
2008,NEW ZEALAND,April,1078.0,4,2008-04-01
2008,NIGERIA,April,64.0,4,2008-04-01
2008,NORWAY,April,845.0,4,2008-04-01
2008,Others,April,13576.0,4,2008-04-01
2008,PAKISTAN,April,176.0,4,2008-04-01
2008,PAPUA NEW GUINEA,April,123.0,4,2008-04-01
2008,PERU,April,39.0,4,2008-04-01
2008,POLAND,April,154.0,4,2008-04-01
2008,PORTUGAL,April,63.0,4,2008-04-01
2008,RUSSIA,April,1231.0,4,2008-04-01
2008,SAUDI ARABIA,April,1457.0,4,2008-04-01
2008,SINGAPORE,April,8252.0,4,2008-04-01
2008,SOUTH AFRICA,April,224.0,4,2008-04-01
2008,SPAIN,April,941.0,4,2008-04-01
2008,SRI LANKA,April,366.0,4,2008-04-01
2008,SWEDEN,April,840.0,4,2008-04-01
2008,SWITZERLAND,April,1775.0,4,2008-04-01
2008,TAIWAN,April,9486.0,4,2008-04-01
