Date,Arrivals,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2024-04-01,429516,True,False,False,False,False,False,False,False,False,False,False,False
2024-05-01,402336,False,False,False,False,False,False,False,False,True,False,False,False
2024-06-01,408637,False,False,False,False,False,False,True,False,False,False,False,False
2024-07-01,468016,False,False,False,False,False,True,False,False,False,False,False,False
2024-08-01,428537,False,True,False,False,False,False,False,False,False,False,False,False
2024-09-01,377003,False,False,False,False,False,False,False,False,False,False,False,True
2024-10-01,403017,False,False,False,False,False,False,False,False,False,False,True,False
2024-11-01,433130,False,False,False,False,False,False,False,False,False,True,False,False
2024-12-01,520549,False,False,True,False,False,False,False,False,False,False,False,False
2025-01-01,578224,False,False,False,False,True,False,False,False,False,False,False,False
2025-02-01,505178,False,False,False,True,False,False,False,False,False,False,False,False
2025-03-01,446917,False,False,False,False,False,False,False,True,False,False,False,False
2025-04-01,403438,True,False,False,False,False,False,False,False,False,False,False,False
